2018/19,,,,,,,,,,,
,Team,Position,Points,GD,Shots per game,Yellow Cards,Red Cards,,,GD,Points
,Arsenal,5,70,22,,,,,,22,70
,Aston Villa,,,,,,,,,,
,Birmingham,,,,,,,,,,
,Blackburn,,,,,,,,,,
,Blackpool,,,,,,,,,,
,Bolton,,,,,,,,,,
,Bournemouth,14,45,-14,,,,,,-14,45
,Brighton,17,36,-25,,,,,,-25,36
,Burnley ,15,40,-23,,,,,,-23,40
,Cardiff,18,34,-35,,,,,,-35,34
,Chelsea,3,72,24,,,,,,24,72
,Crystal Palace,12,49,-2,,,,,,-2,49
,Everton,8,54,8,,,,,,8,54
,Fulham,19,26,-47,,,,,,-47,26
,Huddersfield,20,16,-54,,,,,,-54,16
,Hull,,,,,,,,,,
,Leicester,9,52,3,,,,,,3,52
,Liverpool,2,97,67,,,,,,67,97
,Man City,1,98,72,,,,,,72,98
,Man United,6,66,11,,,,,,11,66
,Middlesbrough,,,,,,,,,,
,Newcastle,13,45,-6,,,,,,-6,45
,Norwich,,,,,,,,,,
,Portsmouth,,,,,,,,,,
,QPR,,,,,,,,,,
,Reading,,,,,,,,,,
,Southampton,16,39,-20,,,,,,-20,39
,Stoke,,,,,,,,,,
,Sunderland,,,,,,,,,,
,Swansea,,,,,,,,,,
,Tottenham,4,71,28,,,,,,28,71
,Watford,11,50,-7,,,,,,-7,50
,West Brom,,,,,,,,,,
,West Ham,10,52,-3,,,,,,-3,52
,Wigan,,,,,,,,,,
,Wolves,7,57,1,,,,,,1,57
2017/18,Arsenal,6,63,23,,,,,,23,63
,Aston Villa,,,,,,,,,,
,Birmingham,,,,,,,,,,
,Blackburn,,,,,,,,,,
,Blackpool,,,,,,,,,,
,Bolton,,,,,,,,,,
,Bournemouth,12,44,-16,,,,,,-16,44
,Brighton,15,40,-20,,,,,,-20,40
,Burnley ,7,54,-3,,,,,,-3,54
,Cardiff,,,,,,,,,,
,Chelsea,5,70,24,,,,,,24,70
,Crystal Palace,11,44,-10,,,,,,-10,44
,Everton,8,49,-14,,,,,,-14,49
